Grade,Year,County,Count
Grades K-5,2013,Caroline County,2519
Grades K-5,2013,Carroll County,11211
Grades K-5,2013,Cecil County,6862
Grades K-5,2013,Charles County,10997
Grades K-5,2013,Dorchester County,2242
Grades K-5,2013,Frederick County,18084
Grades K-5,2013,Garrett County,1720
Grades K-5,2013,Harford County,16895
Grades K-5,2013,Howard County,23355
Grades K-5,2013,Kent County,946
Grades K-5,2013,Montgomery County,69943
Grades K-5,2013,Prince George's County,57829
Grades K-5,2013,Queen Anne's County,3384
Grades K-5,2013,St. Mary's County,8034
Grades K-5,2013,Somerset County,1380
Grades K-5,2013,Talbot County,2004
Grades K-5,2013,Washington County,10214
Grades K-5,2013,Wicomico County,6925
Grades K-5,2013,Worcester County,2855
Grades K-5,2013,Total,395542
Grades 6-8,2013,Baltimore City,17062
Grades 6-8,2013,Allegany County,1951
Grades 6-8,2013,Anne Arundel County,17073
Grades 6-8,2013,Baltimore County,22956
Grades 6-8,2013,Calvert County,3794
Grades 6-8,2013,Caroline County,1215
Grades 6-8,2013,Carroll County,6115
Grades 6-8,2013,Cecil County,3548
Grades 6-8,2013,Charles County,5857
Grades 6-8,2013,Dorchester County,998
Grades 6-8,2013,Frederick County,9018
Grades 6-8,2013,Garrett County,876
Grades 6-8,2013,Harford County,8576
Grades 6-8,2013,Howard County,11909
Grades 6-8,2013,Kent County,446
Grades 6-8,2013,Montgomery County,32450
Grades 6-8,2013,Prince George's County,26492
Grades 6-8,2013,Queen Anne's County,1763
Grades 6-8,2013,St. Mary's County,3795
Grades 6-8,2013,Somerset County,614
Grades 6-8,2013,Talbot County,974
Grades 6-8,2013,Washington County,5095
Grades 6-8,2013,Wicomico County,2974
Grades 6-8,2013,Worcester County,1420
Grades 6-8,2013,Total,186971
Grades 9-12,2013,Baltimore City,22882
Grades 9-12,2013,Allegany County,2570
Grades 9-12,2013,Anne Arundel County,22523
Grades 9-12,2013,Baltimore County,30740
Grades 9-12,2013,Calvert County,5337
Grades 9-12,2013,Caroline County,1501
Grades 9-12,2013,Carroll County,8633
Grades 9-12,2013,Cecil County,4694
Grades 9-12,2013,Charles County,8680
Grades 9-12,2013,Dorchester County,1273
Grades 9-12,2013,Frederick County,12435
Grades 9-12,2013,Garrett County,1190
Grades 9-12,2013,Harford County,11601
Grades 9-12,2013,Howard County,16417
Grades 9-12,2013,Kent County,599
Grades 9-12,2013,Montgomery County,45132
Grades 9-12,2013,Prince George's County,35174
Grades 9-12,2013,Queen Anne's County,2325
Grades 9-12,2013,St. Mary's County,5075
Grades 9-12,2013,Somerset County,734
Grades 9-12,2013,Talbot County,1321
Grades 9-12,2013,Washington County,6676
Grades 9-12,2013,Wicomico County,3941
Grades 9-12,2013,Worcester County,1991
Grades 9-12,2013,Total,253444
Grades Pre-K,2014,Baltimore City,4811
Grades Pre-K,2014,Allegany County,508
Grades Pre-K,2014,Anne Arundel County,2080
Grades Pre-K,2014,Baltimore County,3752
Grades Pre-K,2014,Calvert County,399
Grades Pre-K,2014,Caroline County,299
Grades Pre-K,2014,Carroll County,362
Grades Pre-K,2014,Cecil County,743
Grades Pre-K,2014,Charles County,839
Grades Pre-K,2014,Dorchester County,213
Grades Pre-K,2014,Frederick County,1101
Grades Pre-K,2014,Garrett County,148
Grades Pre-K,2014,Harford County,772
Grades Pre-K,2014,Howard County,1174
Grades Pre-K,2014,Kent County,139
Grades Pre-K,2014,Montgomery County,4115
Grades Pre-K,2014,Prince George's County,5793
Grades Pre-K,2014,Queen Anne's County,244
Grades Pre-K,2014,St. Mary's County,922
Grades Pre-K,2014,Somerset County,205
Grades Pre-K,2014,Talbot County,258
Grades Pre-K,2014,Washington County,554
Grades Pre-K,2014,Wicomico County,574
Grades Pre-K,2014,Worcester County,380
Grades Pre-K,2014,Total,30385
Grades K-5,2014,Baltimore City,40774
Grades K-5,2014,Allegany County,3879
Grades K-5,2014,Anne Arundel County,37346
Grades K-5,2014,Baltimore County,51717
Grades K-5,2014,Calvert County,6598
Grades K-5,2014,Caroline County,2532
Grades K-5,2014,Carroll County,10966
Grades K-5,2014,Cecil County,6800
Grades K-5,2014,Charles County,10991
Grades K-5,2014,Dorchester County,2297
Grades K-5,2014,Frederick County,18098
Grades K-5,2014,Garrett County,1720
Grades K-5,2014,Harford County,16768
Grades K-5,2014,Howard County,23730
Grades K-5,2014,Kent County,934
Grades K-5,2014,Montgomery County,71199
Grades K-5,2014,Prince George's County,59372
Grades K-5,2014,Queen Anne's County,3437
Grades K-5,2014,St. Mary's County,8110
Grades K-5,2014,Somerset County,1378
Grades K-5,2014,Talbot County,2031
Grades K-5,2014,Washington County,10044
Grades K-5,2014,Wicomico County,7003
Grades K-5,2014,Worcester County,2805
Grades K-5,2014,Total,400529
Grades 6-8,2014,Baltimore City,17050
Grades 6-8,2014,Allegany County,1888
Grades 6-8,2014,Anne Arundel County,17380
Grades 6-8,2014,Baltimore County,23436
Grades 6-8,2014,Calvert County,3806
Grades 6-8,2014,Caroline County,1211
Grades 6-8,2014,Carroll County,6039
Grades 6-8,2014,Cecil County,3446
Grades 6-8,2014,Charles County,5811
Grades 6-8,2014,Dorchester County,1011
Grades 6-8,2014,Frederick County,9068
Grades 6-8,2014,Garrett County,840
Grades 6-8,2014,Harford County,8440
Grades 6-8,2014,Howard County,12296
Grades 6-8,2014,Kent County,439
Grades 6-8,2014,Montgomery County,33488
Grades 6-8,2014,Prince George's County,26916
Grades 6-8,2014,Queen Anne's County,1747
Grades 6-8,2014,St. Mary's County,3847
Grades 6-8,2014,Somerset County,626
Grades 6-8,2014,Talbot County,1007
Grades 6-8,2014,Washington County,5059
Grades 6-8,2014,Wicomico County,2980
Grades 6-8,2014,Worcester County,1473
Grades 6-8,2014,Total,189304
Grades 9-12,2014,Baltimore City,22341
Grades 9-12,2014,Allegany County,2590
Grades 9-12,2014,Anne Arundel County,22712
Grades 9-12,2014,Baltimore County,30925
Grades 9-12,2014,Calvert County,5228
Grades 9-12,2014,Caroline County,1550
Grades 9-12,2014,Carroll County,8512
Grades 9-12,2014,Cecil County,4692
Grades 9-12,2014,Charles County,8617
Grades 9-12,2014,Dorchester County,1275
Grades 9-12,2014,Frederick County,12514
Grades 9-12,2014,Garrett County,1150
Grades 9-12,2014,Harford County,11557
Grades 9-12,2014,Howard County,16485
Grades 9-12,2014,Kent County,594
Grades 9-12,2014,Montgomery County,45633
Grades 9-12,2014,Prince George's County,35495
Grades 9-12,2014,Queen Anne's County,2296
Grades 9-12,2014,St. Mary's County,5008
Grades 9-12,2014,Somerset County,729
Grades 9-12,2014,Talbot County,1334
